Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2023-06-18,34.1,15.84,94.5,21.65,0.588,19.69,4.335254
2023-06-19,36.41,20.86,98.2,35.09,1.175,23.55,5.684323
2023-06-20,32.91,22.8,100.0,60.55,1.233,25.19,5.374152
2023-06-21,31.31,22.29,100.0,62.87,1.208,22.74,4.821504
2023-06-22,34.88,21.61,100.0,27.91,0.829,23.49,5.300805
2023-06-23,34.2,20.05,96.8,40.44,1.341,27.88,6.145819
2023-06-24,31.58,17.98,100.0,43.29,1.417,28.14,5.863128
2023-06-25,31.61,18.21,99.1,49.56,1.329,27.91,5.720058
2023-06-26,32.46,19.13,100.0,39.82,1.313,27.35,5.858022
2023-06-27,33.18,18.42,100.0,37.58,1.239,26.94,5.832988
2023-06-28,34.54,19.77,100.0,41.25,1.031,23.86,5.351318
2023-06-29,34.34,20.25,94.2,40.13,1.136,26.14,5.788244
2023-06-30,32.29,20.59,99.5,44.35,0.827,17.26,3.981762
2023-07-01,28.38,19.16,93.6,60.82,1.078,17.43,3.743692
2023-07-02,30.25,17.77,95.8,62.7,1.588,27.36,5.405742
2023-07-03,30.52,19.33,98.4,61.4,1.28,24.54,5.000485
2023-07-04,31.99,19.67,99.6,41.12,0.999,24.34,5.187385
2023-07-05,32.63,19.84,98.2,48.4,1.487,27.5,5.901055
2023-07-06,36.85,20.79,100.0,32.95,0.833,26.44,5.867623
2023-07-07,37.91,22.53,92.5,32.4,1.009,23.08,5.671341
2023-07-08,36.99,22.76,100.0,39.82,0.904,25.11,5.766422
2023-07-09,35.15,23.92,98.0,52.69,1.071,25.24,5.674009
2023-07-10,36.14,23.61,100.0,52.14,1.269,25.29,5.839747
2023-07-11,38.36,23.31,100.0,35.1,1.017,25.81,6.140782
2023-07-12,36.58,22.56,95.5,46.56,1.215,25.54,5.964866
2023-07-13,34.17,22.02,93.2,35.5,1.307,27.38,6.187258
2023-07-14,31.99,20.15,86.9,40.16,1.304,27.2,5.859141
2023-07-15,33.01,18.6,95.7,44.08,1.291,26.71,5.743205
2023-07-16,34.85,24.06,97.9,50.31,1.178,24.67,5.605941
2023-07-17,35.8,23.38,100.0,51.53,1.103,26.19,5.876477
2023-07-18,38.98,20.59,100.0,32.03,1.055,26.6,6.275986
2023-07-19,40.48,20.12,100.0,20.02,1.126,26.39,6.561305
2023-07-20,35.15,25.21,100.0,51.19,1.239,20.47,4.956269
2023-07-21,36.94,24.23,100.0,49.43,0.997,26.29,5.977633
2023-07-22,36.24,25.18,89.2,37.54,1.045,20.73,5.182546
2023-07-23,36.01,23.78,98.6,43.5,1.182,22.33,5.373529
2023-07-24,33.38,23.04,100.0,68.31,1.36,18.12,4.161314
2023-07-25,32.36,22.39,100.0,48.5,1.677,25.15,5.607854
2023-07-26,31.41,21.67,100.0,48.47,1.3,20.69,4.64268
2023-07-27,33.89,20.09,99.1,37.99,1.261,24.75,5.547532
2023-07-28,32.36,19.78,93.0,55.62,1.341,26.07,5.475369
2023-07-29,32.43,19.88,99.4,46.7,1.353,26.15,5.557803
2023-07-30,33.93,21.51,100.0,52.35,1.193,25.66,5.547646
2023-07-31,33.66,25.21,95.7,52.96,1.637,25.39,5.798303
2023-08-01,33.35,24.43,95.6,62.29,1.86,25.15,5.612416
2023-08-02,33.28,24.06,97.3,61.88,1.439,24.61,5.379162
2023-08-03,33.45,24.02,99.7,52.42,1.217,23.41,5.192788
2023-08-04,30.05,19.46,100.0,42.58,0.64,19.93,4.037258
2023-08-05,32.87,17.98,100.0,20.15,0.731,25.08,5.020975
2023-08-06,32.74,16.66,88.5,31.82,1.347,26.06,5.637224
2023-08-07,31.82,19.88,84.0,35.84,1.57,25.34,5.674668
2023-08-08,30.9,18.02,92.2,42.41,1.314,24.78,5.150864
2023-08-09,31.95,19.24,91.8,42.0,1.42,24.93,5.369144
2023-08-10,32.19,22.42,94.3,51.5,1.39,23.01,5.056552
2023-08-11,35.63,22.76,95.3,39.55,1.122,24.88,5.617197
2023-08-12,32.97,20.49,96.3,42.48,1.199,24.41,5.247906
2023-08-13,32.02,21.67,99.8,44.86,1.313,24.32,5.205721
2023-08-14,37.1,19.65,93.7,24.92,1.028,24.84,5.639192
2023-08-15,37.47,19.45,86.1,21.96,1.079,24.87,5.747907
2023-08-16,39.66,21.31,87.0,22.4,0.949,24.17,5.731079
2023-08-17,36.12,22.57,98.6,46.33,1.098,23.9,5.374169
2023-08-18,32.43,22.16,100.0,61.06,1.31,23.38,4.8921
2023-08-19,32.67,22.83,100.0,60.48,1.143,23.59,4.92888
2023-08-20,33.76,22.93,99.3,59.84,1.215,23.53,5.040204
2023-08-21,35.87,22.39,100.0,41.46,1.026,23.36,5.218172
2023-08-22,34.61,23.31,100.0,40.4,1.138,23.23,5.193046
2023-08-23,33.89,22.39,92.8,43.23,1.251,23.25,5.177794
2023-08-24,35.49,21.68,97.7,26.35,1.174,23.57,5.400745
2023-08-25,33.11,19.72,100.0,39.99,1.139,23.56,4.969199
2023-08-26,33.69,20.03,97.4,50.31,1.341,21.83,4.803256
2023-08-27,27.19,15.77,100.0,79.92,0.76,5.835,1.476708
2023-08-28,29.26,15.77,100.0,41.8,0.968,23.23,4.353199
2023-08-29,30.42,18.56,97.7,33.42,0.657,21.23,4.050837
2023-08-30,29.03,17.27,100.0,43.98,1.053,21.38,4.117576
2023-08-31,29.71,17.2,100.0,47.86,1.176,22.92,4.390923
2023-09-01,31.1,18.7,100.0,44.15,1.24,21.12,4.372456
