Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2023-06-18,26.53,17.02,85.0,32.0,0.392,9.92,2.444359
2023-06-19,28.63,16.29,93.2,38.18,0.686,18.15,3.830178
2023-06-20,27.17,16.56,84.6,39.19,0.919,22.72,4.538688
2023-06-21,28.83,17.55,71.0,37.58,0.569,17.01,3.673762
2023-06-22,32.21,15.44,73.5,23.18,0.719,31.14,5.911127
2023-06-23,36.18,19.81,56.08,22.17,0.542,30.87,6.064189
2023-06-24,37.38,20.01,60.21,21.24,0.58,30.77,6.200289
2023-06-25,38.24,21.94,54.74,16.58,0.745,30.71,6.487364
2023-06-26,39.64,23.87,43.86,13.85,0.59,30.55,6.263105
2023-06-27,40.17,22.21,45.01,10.79,0.58,29.57,6.040656
2023-06-28,38.31,22.41,39.73,10.65,0.84,29.01,6.299081
2023-06-29,36.26,21.28,52.81,12.65,0.97,29.42,6.440332
2023-06-30,33.54,20.29,54.15,16.05,0.938,30.29,6.278957
2023-07-01,34.26,19.29,52.22,21.38,0.843,30.19,6.179181
2023-07-02,35.98,20.68,64.28,24.84,0.748,29.67,6.214406
2023-07-03,37.04,21.61,50.46,14.52,0.894,30.59,6.544663
2023-07-04,34.14,21.54,55.34,8.66,0.899,31.33,6.395172
2023-07-05,36.26,19.69,41.28,12.79,0.85,25.45,5.682511
2023-07-06,36.12,19.29,36.6,12.79,0.858,30.49,6.25184
2023-07-07,34.99,21.54,46.67,21.31,1.022,29.28,6.414104
2023-07-08,35.52,17.82,45.48,12.65,0.886,30.93,6.286771
2023-07-09,38.11,20.94,45.34,16.65,0.826,29.58,6.348015
2023-07-10,41.31,23.8,43.13,8.32,0.651,24.11,5.495992
2023-07-11,39.51,24.32,48.59,13.85,0.902,24.96,6.047587
2023-07-12,38.38,23.13,41.6,6.992,0.857,30.11,6.394947
2023-07-13,37.51,21.61,30.93,8.59,0.76,31.32,6.184309
2023-07-14,36.51,21.87,48.94,14.12,1.001,30.47,6.596051
2023-07-15,34.39,21.01,50.6,18.85,0.954,30.79,6.404312
2023-07-16,37.31,18.75,61.09,17.85,0.65,24.32,5.278943
2023-07-17,44.27,24.07,42.53,3.395,0.622,30.33,6.192745
2023-07-18,38.44,24.13,46.58,9.73,1.026,27.58,6.430531
2023-07-19,39.37,24.46,53.92,16.85,0.867,27.58,6.330379
2023-07-20,35.85,22.93,49.33,11.66,0.848,22.68,5.338016
2023-07-21,34.31,18.95,50.08,10.66,0.907,30.69,6.153134
2023-07-22,35.58,18.62,56.42,14.65,0.824,29.44,6.006829
2023-07-23,38.04,21.34,38.0,17.58,0.917,25.59,5.914322
2023-07-24,33.73,22.0,52.8,9.53,1.225,27.68,6.305917
2023-07-25,32.47,18.42,64.95,11.39,0.866,30.28,5.910264
2023-07-26,36.44,17.96,46.55,13.38,0.879,29.96,6.128934
2023-07-27,31.94,18.82,55.42,27.64,1.129,28.83,6.005109
2023-07-28,35.11,17.43,57.23,11.45,0.918,30.03,6.073442
2023-07-29,37.38,20.48,39.47,8.59,0.753,29.82,5.895696
2023-07-30,37.78,21.94,51.27,12.19,0.918,29.75,6.344174
2023-07-31,36.18,21.73,39.81,7.79,0.999,29.67,6.229288
2023-08-01,35.51,19.82,43.41,9.26,0.939,29.76,6.065464
2023-08-02,35.25,20.74,45.94,17.91,1.105,29.25,6.32216
2023-08-03,33.38,20.68,60.41,17.45,1.093,29.11,6.140343
2023-08-04,33.14,18.15,45.01,9.39,1.28,29.27,6.264929
2023-08-05,35.78,18.02,61.55,8.59,1.107,29.03,6.207987
2023-08-06,39.43,22.74,37.41,9.79,0.628,29.15,5.684508
2023-08-07,40.55,24.32,31.92,8.12,0.625,27.74,5.513617
2023-08-08,39.9,24.52,44.18,14.38,0.623,22.81,5.095984
2023-08-09,40.68,23.46,45.26,15.98,0.948,25.17,5.989866
2023-08-10,39.89,25.59,48.33,13.32,0.779,25.6,5.74502
2023-08-11,40.61,23.46,34.53,4.328,0.831,29.05,5.888881
2023-08-12,38.31,23.52,37.26,6.325,0.817,28.5,5.743174
2023-08-13,38.44,23.72,45.59,13.25,0.946,28.04,6.123675
2023-08-14,36.71,21.27,59.81,14.32,0.869,27.87,5.824106
2023-08-15,37.38,21.01,43.01,13.98,0.975,25.89,5.736817
2023-08-16,35.45,20.41,42.07,15.52,0.992,26.58,5.677373
2023-08-17,34.25,19.61,49.54,13.98,0.878,27.68,5.50815
2023-08-18,35.11,18.82,43.88,12.39,0.84,25.56,5.215658
2023-08-19,37.57,20.14,46.67,12.98,0.816,26.9,5.507789
2023-08-20,39.89,23.92,36.99,9.52,0.679,26.79,5.340741
2023-08-21,40.23,24.32,38.46,12.78,0.938,26.23,5.866437
2023-08-22,41.41,23.4,41.92,9.12,0.663,26.28,5.346716
2023-08-23,40.62,23.07,36.13,8.72,0.572,26.66,5.058717
2023-08-24,38.56,23.67,39.93,12.18,0.656,25.9,5.135772
2023-08-25,39.43,24.06,38.59,12.52,0.881,24.85,5.464647
2023-08-26,38.03,24.52,38.53,11.98,1.171,18.07,5.23901
2023-08-27,27.95,15.22,53.49,16.25,1.555,26.03,5.381259
2023-08-28,29.08,15.76,37.09,16.65,0.937,26.42,4.806535
2023-08-29,32.0,16.49,41.49,12.72,0.893,26.17,4.897509
2023-08-30,31.61,17.89,46.46,16.05,0.858,25.26,4.792287
2023-08-31,33.18,17.95,54.95,23.11,0.72,24.12,4.624067
2023-09-01,33.38,19.14,57.28,15.71,0.627,22.48,4.310331
2023-09-02,28.3,16.02,90.6,29.92,1.025,18.63,3.860973
2023-09-03,18.35,15.02,96.4,68.41,0.507,3.992,1.161799
2023-09-04,26.37,16.42,96.6,39.71,0.786,20.67,3.70056
2023-09-05,28.81,14.5,87.5,32.97,0.815,21.6,3.986566
2023-09-06,31.81,17.49,64.19,29.64,0.622,21.72,4.072993
2023-09-07,32.65,20.4,67.68,24.7,0.59,20.89,4.042869
2023-09-08,34.11,17.29,79.8,23.97,0.636,23.06,4.344831
2023-09-09,30.07,17.42,80.4,38.7,0.855,21.03,4.051784
2023-09-10,32.07,17.16,79.7,27.44,0.934,22.07,4.399994
2023-09-11,27.97,16.95,80.6,33.72,0.888,20.9,3.900042
2023-09-12,28.88,15.89,73.0,26.45,0.77,23.14,4.066525
2023-09-13,31.54,16.63,67.83,27.04,0.569,19.99,3.673772
2023-09-14,32.47,17.34,92.6,31.7,0.707,21.13,4.010424
2023-09-15,28.35,16.95,96.4,47.57,0.674,15.49,2.986314
2023-09-16,27.43,15.23,94.2,37.11,0.762,20.31,3.537498
2023-09-17,22.46,14.37,89.2,52.06,0.776,11.04,2.211128
2023-09-18,23.3,12.3,91.5,40.05,0.667,19.26,3.033427
2023-09-19,27.34,12.64,76.4,31.18,0.702,21.38,3.520038
2023-09-20,26.7,14.84,72.2,34.78,0.762,21.69,3.592351
2023-09-21,22.99,13.57,97.2,36.19,0.979,16.85,2.951999
2023-09-22,21.06,12.63,99.8,39.13,0.942,16.79,2.747211
2023-09-23,26.83,11.51,68.79,29.05,0.645,22.25,3.400889
2023-09-24,30.07,14.04,66.18,20.98,0.663,22.12,3.599776
2023-09-25,31.01,16.29,57.23,23.91,0.68,21.88,3.68054
2023-09-26,30.47,15.63,59.56,25.11,0.695,21.68,3.621727
2023-09-27,31.41,16.03,64.77,19.85,0.647,21.66,3.57919
2023-09-28,32.06,17.43,51.63,22.78,0.686,21.63,3.656483
2023-09-29,34.11,18.15,51.42,18.91,0.691,20.87,3.675759
2023-09-30,34.71,18.82,47.14,13.85,0.634,21.16,3.554387
2023-10-01,33.51,16.82,45.49,13.25,0.659,21.36,3.449836
2023-10-02,34.58,18.29,38.02,11.92,0.596,20.13,3.267615
2023-10-03,32.41,17.69,43.29,15.79,0.728,20.17,3.419403
2023-10-04,30.74,18.49,54.14,22.98,0.719,18.88,3.298395
2023-10-05,32.27,16.89,58.76,16.85,0.647,20.11,3.271994
2023-10-06,35.05,18.82,39.48,11.05,0.487,18.53,2.87905
2023-10-07,34.07,18.95,32.94,8.93,0.551,18.69,2.871897
2023-10-08,30.88,17.89,49.68,17.52,0.627,17.63,2.939301
2023-10-09,29.01,15.96,60.89,25.59,0.629,17.51,2.843439
2023-10-10,27.94,14.91,67.95,27.35,0.56,17.84,2.703838
2023-10-11,28.48,13.84,67.24,20.32,0.609,18.71,2.768444
2023-10-12,30.14,15.3,51.57,19.92,0.543,18.38,2.691636
2023-10-13,28.21,15.37,51.77,24.65,0.603,15.49,2.530389
2023-10-14,24.57,14.56,95.4,44.99,0.413,11.21,1.848868
2023-10-15,25.3,13.24,87.2,35.58,0.522,14.7,2.20887
