Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2023-06-18,24.74,15.54,88.9,33.71,2.456,22.86,5.131986
2023-06-19,25.28,15.07,89.1,37.59,3.026,19.65,4.960664
2023-06-20,22.88,13.8,96.2,44.62,2.451,19.54,4.165189
2023-06-21,23.34,13.2,95.3,44.08,2.223,16.04,3.762648
2023-06-22,25.73,11.8,97.3,39.38,1.707,26.97,5.140624
2023-06-23,28.47,13.54,96.3,27.75,1.899,29.74,6.13372
2023-06-24,31.41,14.4,89.5,23.6,1.615,30.05,6.465002
2023-06-25,33.42,17.81,77.6,22.33,2.487,28.27,7.424895
2023-06-26,27.54,14.61,94.1,37.91,3.018,26.98,5.973276
2023-06-27,28.54,13.61,87.3,26.55,2.571,28.99,6.526253
2023-06-28,31.61,12.54,80.7,12.1,2.092,29.76,7.079713
2023-06-29,24.47,11.54,88.5,38.46,3.131,28.61,5.716568
2023-06-30,25.2,8.2,87.6,31.3,1.794,29.23,5.46335
2023-07-01,29.07,11.53,93.1,33.83,1.955,29.16,6.011819
2023-07-02,29.74,13.87,88.5,34.44,2.441,28.59,6.36627
2023-07-03,29.21,13.27,87.3,29.22,2.531,24.48,5.998684
2023-07-04,29.27,11.47,90.7,16.85,2.949,30.33,7.206978
2023-07-05,25.06,11.46,93.8,35.45,1.755,22.76,4.679049
2023-07-06,28.87,12.74,88.5,21.26,2.097,28.44,6.285976
2023-07-07,30.48,13.94,91.6,18.12,3.562,28.74,7.60537
2023-07-08,26.74,12.13,76.4,31.63,2.981,26.19,6.088531
2023-07-09,28.54,12.2,86.1,18.53,2.36,29.97,6.641066
2023-07-10,32.08,11.2,88.9,16.32,1.536,30.36,6.484065
2023-07-11,33.15,14.21,79.2,12.44,2.962,29.63,8.106546
2023-07-12,27.54,14.27,86.7,33.77,2.148,25.0,5.522143
2023-07-13,28.14,13.43,88.9,21.53,1.85,29.07,6.073187
2023-07-14,30.48,13.61,84.2,21.66,3.995,31.01,8.020322
2023-07-15,24.15,12.4,90.1,29.56,3.751,27.93,6.028582
2023-07-16,24.61,10.07,88.7,26.28,2.227,28.35,5.58238
