Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2023-06-18,25.89,12.95,95.6,36.87,0.789,20.76,4.018541
2023-06-19,25.7,14.72,94.8,40.76,1.47,24.52,4.813741
2023-06-20,22.35,13.41,96.6,51.86,0.791,14.01,2.830252
2023-06-21,24.5,10.97,97.4,44.39,0.695,16.32,3.190222
2023-06-22,28.52,10.37,98.1,32.84,0.615,27.96,4.941698
2023-06-23,32.21,11.16,97.0,24.14,0.606,29.46,5.471579
2023-06-24,33.72,14.46,93.1,25.19,0.848,29.63,5.962549
2023-06-25,35.37,16.96,87.5,27.96,0.892,26.82,5.817793
2023-06-26,33.13,15.38,96.5,20.91,0.7,28.84,5.670783
2023-06-27,33.26,15.91,84.1,24.2,1.081,25.67,5.648747
2023-06-28,33.13,13.87,88.1,23.41,0.944,29.34,5.939216
2023-06-29,28.06,14.07,92.7,27.37,1.394,29.29,5.765768
2023-06-30,27.14,14.33,73.0,26.45,2.146,30.13,6.349716
2023-07-01,31.48,11.23,87.6,27.43,0.905,30.1,5.775105
2023-07-02,33.26,14.66,89.7,27.1,0.573,24.37,4.910261
2023-07-03,32.14,15.18,95.6,24.86,0.944,30.13,5.985134
2023-07-04,29.98,11.49,93.8,21.5,0.989,30.57,5.765891
2023-07-05,30.24,11.89,94.9,23.54,0.797,23.04,4.653989
2023-07-06,30.5,12.48,93.6,21.56,0.668,29.86,5.438827
2023-07-07,29.91,12.48,93.5,19.39,1.519,30.18,6.171253
2023-07-08,25.9,10.77,94.2,39.11,0.996,21.55,4.161952
2023-07-09,29.51,10.64,96.3,21.43,0.715,30.09,5.342404
2023-07-10,34.58,9.32,92.0,14.31,0.787,30.65,5.888961
2023-07-11,31.81,12.15,92.7,22.49,0.914,30.17,5.81575
2023-07-12,29.78,14.86,89.7,30.87,0.878,28.34,5.402453
2023-07-13,31.68,12.55,92.8,21.7,0.601,30.06,5.46622
2023-07-14,32.09,12.75,89.4,18.53,1.097,30.18,6.020149
2023-07-15,24.64,13.8,89.2,34.3,1.265,27.26,5.015727
2023-07-16,27.86,8.47,94.2,21.63,0.636,28.9,4.895752
2023-07-17,33.73,8.34,85.9,18.53,0.959,28.69,5.740869
2023-07-18,34.18,15.05,84.1,16.49,1.35,28.31,6.339635
2023-07-19,33.92,13.21,84.0,13.12,0.882,29.79,5.883541
2023-07-20,29.18,13.01,89.2,24.27,0.92,29.46,5.453199
2023-07-21,28.06,10.83,92.8,20.51,0.686,26.58,4.746936
2023-07-22,30.62,11.82,93.3,20.11,0.68,28.49,5.171394
2023-07-23,30.37,12.42,83.7,22.69,0.981,28.65,5.490107
2023-07-24,25.62,12.42,93.4,33.9,1.137,26.44,4.803092
2023-07-25,28.06,10.05,92.4,22.62,0.82,29.2,5.102086
2023-07-26,32.67,9.39,90.5,19.12,0.734,29.31,5.404183
2023-07-27,29.12,11.56,89.4,33.9,0.928,26.11,4.938312
2023-07-28,30.62,9.98,96.7,25.06,0.731,28.29,5.120559
2023-07-29,30.82,14.79,94.9,34.36,0.744,27.84,5.229043
2023-07-30,31.87,13.01,95.5,23.21,0.695,28.92,5.348398
2023-07-31,31.94,11.89,90.5,19.19,0.801,29.04,5.407675
2023-08-01,31.15,11.1,94.5,29.67,0.973,28.53,5.396367
2023-08-02,28.33,12.81,98.3,47.68,0.995,22.49,4.29896
2023-08-03,26.35,10.64,95.4,25.39,1.319,27.92,5.113325
2023-08-04,27.14,13.28,63.11,20.71,1.964,28.62,6.013366
2023-08-05,33.05,8.41,83.6,18.07,0.666,27.95,5.060225
2023-08-06,33.71,10.64,87.8,17.08,0.989,27.89,5.563168
2023-08-07,36.74,11.82,69.65,12.99,0.68,27.9,5.352282
2023-08-08,36.08,13.54,74.2,19.71,1.034,26.28,5.681787
2023-08-09,33.79,15.91,84.4,19.91,1.409,23.65,5.592043
2023-08-10,34.83,12.62,95.4,13.19,0.529,27.43,4.954275
2023-08-11,35.75,13.21,85.9,19.85,0.752,27.25,5.365353
