Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2023-06-18,33.82,19.0,74.0,29.15,0.651,29.18,5.811642
2023-06-19,31.66,19.27,82.1,31.92,0.868,26.84,5.508754
2023-06-20,31.73,18.19,89.0,34.75,0.558,26.41,5.140937
2023-06-21,32.0,18.8,79.9,27.6,0.817,28.1,5.659894
2023-06-22,35.44,17.45,89.4,23.08,0.644,30.62,6.050841
2023-06-23,38.88,18.26,79.8,17.75,1.172,30.86,7.120697
2023-06-24,39.49,22.5,60.14,15.99,1.164,30.61,7.274666
2023-06-25,41.92,21.15,72.0,15.18,0.594,30.25,6.457616
2023-06-26,43.0,21.49,65.64,16.39,0.63,29.78,6.542368
2023-06-27,40.57,20.73,67.58,15.53,0.52,29.7,6.115941
2023-06-28,39.22,19.41,68.52,16.67,0.477,24.87,5.249891
2023-06-29,37.53,20.41,87.1,28.68,0.747,28.45,6.162889
2023-06-30,35.64,17.65,74.1,25.98,0.717,30.4,6.139979
2023-07-01,37.94,18.33,89.3,19.97,0.592,30.17,6.143251
2023-07-02,39.08,20.88,78.0,16.13,0.572,29.95,6.192445
2023-07-03,39.15,21.63,76.7,22.4,0.819,30.3,6.685685
2023-07-04,39.49,20.21,89.2,12.42,0.583,29.43,6.115194
2023-07-05,39.15,17.92,72.6,8.91,0.746,29.52,6.224271
2023-07-06,36.59,18.46,85.5,20.72,0.65,30.76,6.176874
2023-07-07,34.56,16.37,79.0,17.68,0.735,30.59,6.005237
2023-07-08,36.72,17.92,85.4,17.34,0.59,30.55,6.020683
2023-07-09,39.75,18.66,79.4,15.65,0.411,30.04,5.879482
2023-07-10,41.98,18.99,69.25,14.51,0.475,29.03,5.940118
2023-07-11,41.17,22.91,67.3,10.86,0.571,28.85,6.101331
2023-07-12,42.45,18.99,71.0,7.56,0.594,30.83,6.307768
2023-07-13,41.57,18.52,71.9,11.94,0.582,30.18,6.20665
2023-07-14,38.4,18.72,76.5,17.95,0.72,29.85,6.24178
2023-07-15,36.78,18.39,75.1,15.45,0.718,29.84,6.067568
2023-07-16,38.53,17.44,85.3,9.65,0.394,29.99,5.610246
2023-07-17,42.04,18.18,71.1,11.81,0.492,28.79,5.839618
2023-07-18,39.95,23.03,77.1,27.26,0.638,23.86,5.528969
2023-07-19,41.9,22.56,82.1,19.23,0.714,25.75,6.045955
2023-07-20,39.34,20.41,66.42,9.38,0.806,29.38,6.319297
2023-07-21,37.25,20.14,62.36,14.03,0.711,29.77,6.058757
2023-07-22,37.38,18.99,66.49,13.63,0.61,29.17,5.79176
2023-07-23,38.86,17.91,71.4,14.23,0.618,27.93,5.726367
2023-07-24,37.58,18.18,71.1,18.28,0.816,29.05,6.122219
2023-07-25,35.7,18.12,66.15,17.74,0.737,29.48,5.881826
2023-07-26,36.3,17.17,76.3,23.07,0.677,28.94,5.766831
2023-07-27,32.52,15.96,82.8,28.94,0.672,27.57,5.279897
2023-07-28,37.71,16.3,90.5,14.57,0.516,28.83,5.557863
2023-07-29,40.68,17.31,74.6,14.37,0.667,29.15,6.058021
2023-07-30,40.61,21.22,76.5,12.68,0.778,28.85,6.314819
2023-07-31,39.8,17.71,75.6,9.78,0.645,29.13,5.886227
2023-08-01,38.59,15.97,84.0,17.34,0.7,28.76,5.874979
2023-08-02,39.46,18.25,81.8,20.03,0.812,28.14,6.115267
2023-08-03,38.45,19.13,80.1,14.37,0.733,28.38,5.920714
2023-08-04,39.2,15.16,85.1,11.13,0.917,28.45,6.168011
2023-08-05,39.6,19.74,54.18,9.31,1.62,28.53,7.558253
2023-08-06,42.56,19.87,60.74,8.43,1.242,28.47,7.126783
2023-08-07,42.09,20.48,54.34,10.25,0.617,26.77,5.612797
2023-08-08,41.28,21.41,75.8,19.36,0.778,24.31,5.708664
2023-08-09,37.31,23.44,74.4,34.2,0.57,19.86,4.552429
2023-08-10,43.37,21.62,81.5,8.7,0.485,25.47,5.366267
2023-08-11,44.32,17.04,72.8,7.89,0.511,27.62,5.527068
2023-08-12,43.71,17.85,77.6,11.2,0.61,27.33,5.778522
2023-08-13,39.87,19.8,72.6,10.79,0.752,27.36,5.793167
2023-08-14,37.5,17.1,80.0,17.74,0.646,27.09,5.389427
2023-08-15,38.65,17.17,69.12,11.2,0.613,26.52,5.245023
2023-08-16,37.03,18.12,74.7,18.55,0.708,25.02,5.193563
2023-08-17,37.84,17.64,81.1,13.15,0.642,26.62,5.292393
2023-08-18,38.45,16.83,76.7,16.12,0.65,24.82,5.114326
2023-08-19,40.81,19.33,74.3,16.73,0.579,24.75,5.197944
2023-08-20,43.1,21.5,73.5,14.49,0.509,25.21,5.293771
2023-08-21,43.44,20.34,75.1,11.67,0.733,25.32,5.696907
2023-08-22,42.43,20.61,70.6,12.55,1.829,25.3,7.555969
2023-08-23,42.77,22.7,59.05,10.99,1.159,25.16,6.433178
2023-08-24,43.04,21.89,69.51,10.93,0.599,24.98,5.318889
2023-08-25,43.58,21.89,61.48,11.94,0.637,23.71,5.251309
2023-08-26,39.06,20.95,69.79,14.57,0.752,13.66,3.960771
2023-08-27,31.85,17.58,56.16,14.44,1.387,25.66,5.609169
2023-08-28,35.42,14.28,74.7,13.83,0.807,25.58,5.004504
2023-08-29,37.3,16.23,70.3,11.74,0.889,25.04,5.214858
2023-08-30,36.09,20.07,68.3,17.34,0.675,24.93,4.91244
2023-08-31,36.16,17.51,77.8,22.39,0.582,25.14,4.759634
2023-09-01,34.67,17.51,75.2,23.14,0.711,23.85,4.671461
2023-09-02,28.76,19.26,85.5,41.36,1.164,15.66,3.612198
2023-09-03,21.74,15.35,96.3,69.7,0.723,5.069,1.377804
2023-09-04,27.27,17.1,99.4,48.45,0.639,18.28,3.334054
2023-09-05,29.69,17.98,99.4,37.31,0.603,20.51,3.774481
2023-09-06,32.19,17.51,98.7,37.17,0.562,21.47,4.005153
2023-09-07,31.11,20.0,88.0,45.13,0.514,18.12,3.539942
2023-09-08,31.72,18.72,96.1,38.52,0.576,20.72,3.909306
2023-09-09,30.97,19.67,94.8,39.53,0.611,20.04,3.813242
2023-09-10,31.52,18.32,91.9,39.54,0.694,21.83,4.087924
2023-09-11,30.78,18.66,93.4,37.72,0.68,22.67,4.125045
2023-09-12,32.06,17.78,92.1,31.78,0.663,23.21,4.216612
2023-09-13,33.87,17.31,88.2,28.2,0.627,23.28,4.268496
2023-09-14,34.68,19.8,85.1,34.34,1.072,20.28,4.5011
2023-09-15,30.04,20.95,91.9,49.53,1.07,20.2,3.99719
2023-09-16,27.27,19.2,94.4,47.17,0.885,13.9,2.897405
2023-09-17,26.73,16.3,97.1,40.69,0.783,14.8,2.885182
2023-09-18,26.94,16.1,94.7,43.72,0.606,17.38,3.026977
2023-09-19,29.84,15.09,94.4,28.88,0.62,22.4,3.726587
2023-09-20,30.24,15.76,92.8,33.2,0.718,21.63,3.759696
2023-09-21,25.92,13.81,96.4,49.33,1.124,11.44,2.53214
2023-09-22,26.26,13.81,96.4,32.86,0.668,18.96,3.127095
2023-09-23,29.97,10.03,91.0,24.76,1.238,22.37,4.185397
2023-09-24,33.28,15.43,78.0,21.39,1.441,22.25,4.895876
2023-09-25,33.08,14.89,77.0,21.12,0.552,21.91,3.612621
2023-09-26,34.09,14.95,80.0,16.6,0.569,21.59,3.62661
2023-09-27,33.48,15.29,78.2,23.28,0.612,21.14,3.634063
2023-09-28,36.11,15.42,77.2,19.43,0.77,21.16,4.031668
2023-09-29,36.72,16.24,76.1,19.64,1.036,21.01,4.489307
2023-09-30,36.05,18.06,72.6,18.56,1.699,20.86,5.384707
2023-10-01,36.52,17.11,68.52,16.53,1.049,21.05,4.432057
2023-10-02,37.26,15.09,75.5,15.79,0.619,20.77,3.674369
2023-10-03,37.06,16.44,69.8,18.76,0.35,19.19,3.050939
2023-10-04,35.51,15.29,78.9,27.13,0.389,18.62,3.063948
2023-10-05,34.02,16.71,79.5,25.78,0.99,19.61,3.915009
2023-10-06,37.46,15.7,75.8,17.54,1.009,15.92,3.993505
2023-10-07,36.92,17.59,73.1,14.91,1.17,17.25,4.285437
2023-10-08,34.7,16.03,73.2,19.37,0.941,18.53,3.753377
2023-10-09,33.21,15.22,75.3,26.92,0.721,18.95,3.315703
2023-10-10,31.19,15.36,83.0,30.16,0.74,18.72,3.173785
2023-10-11,33.28,14.68,83.0,30.63,0.392,18.3,2.781561
2023-10-12,32.54,14.82,81.0,29.96,0.747,18.05,3.164624
2023-10-13,30.24,13.4,86.0,34.28,0.385,13.67,2.230942
2023-10-14,27.07,17.78,97.2,45.75,0.405,10.9,1.942138
2023-10-15,27.88,16.03,99.4,48.38,0.656,13.29,2.302879
2023-10-16,28.08,18.72,93.0,50.0,0.474,11.67,2.081791
2023-10-17,26.87,19.06,95.5,47.98,0.907,7.89,1.954045
2023-10-18,25.73,18.12,98.4,52.44,1.026,10.42,2.106265
2023-10-19,22.23,14.95,100.0,83.0,1.679,2.537,0.9549427
2023-10-20,22.83,12.53,98.0,46.63,0.889,14.53,2.149406
2023-10-21,21.41,9.76,95.9,46.09,0.498,15.98,1.90796
2023-10-22,20.02,11.99,95.0,66.57,2.425,2.526,1.471204
2023-10-23,19.74,10.91,99.7,62.3,0.368,8.14,1.232162
