Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2023-06-18,27.07,11.81,99.8,39.59,1.159,25.148,4.785367
2023-06-19,26.88,14.36,97.2,34.48,2.358,25.7,5.535398
2023-06-20,24.0,11.47,98.0,46.39,1.143,18.73,3.681272
2023-06-21,26.68,8.52,99.5,33.0,1.188,17.58,3.879033
2023-06-22,28.82,8.66,99.7,30.44,1.104,31.43,5.74258
2023-06-23,32.3,9.66,99.0,26.14,0.903,29.54,5.76765
2023-06-24,34.85,11.94,95.8,20.76,0.98,30.66,6.276708
2023-06-25,35.05,14.36,92.3,24.86,1.366,23.54,5.786397
2023-06-26,33.31,12.95,97.3,22.71,1.53,29.04,6.438653
2023-06-27,31.84,9.06,100.0,28.9,1.272,25.16,5.409409
2023-06-28,32.71,6.307,100.0,19.42,1.126,29.27,5.929858
2023-06-29,29.56,9.13,99.1,28.9,2.153,28.54,6.148816
2023-06-30,25.33,9.73,90.4,27.02,1.944,29.96,5.720375
2023-07-01,31.23,8.65,94.4,28.16,1.471,30.16,6.142409
2023-07-02,33.05,13.62,96.7,25.74,1.635,26.59,6.143926
2023-07-03,32.04,14.22,99.2,24.19,1.628,30.13,6.484321
2023-07-04,30.36,11.21,98.5,15.86,1.645,30.85,6.420648
2023-07-05,31.3,7.59,99.4,19.35,1.026,24.09,5.064097
2023-07-06,31.17,8.73,90.3,18.08,1.368,30.38,6.168954
2023-07-07,32.51,9.8,95.1,18.21,1.74,24.01,5.947243
2023-07-08,29.76,8.8,92.0,21.84,1.436,28.41,5.792781
2023-07-09,31.97,8.46,91.2,17.0,1.279,30.69,6.194709
2023-07-10,36.99,6.509,90.4,15.72,1.038,30.7,6.443054
2023-07-11,36.52,11.01,84.9,11.96,1.904,30.53,7.612473
2023-07-12,31.57,8.8,90.4,14.72,1.499,28.41,6.135263
2023-07-13,32.37,9.93,99.1,21.44,1.1,29.81,5.927615
2023-07-14,35.46,9.87,89.2,14.24,1.98,30.43,7.393219
2023-07-15,27.67,10.07,84.3,26.55,1.915,26.08,5.591767
2023-07-16,30.36,6.314,98.8,19.76,1.131,28.77,5.54099
2023-07-17,36.79,5.775,99.5,15.59,0.944,28.22,5.94276
2023-07-18,36.72,12.14,84.7,15.99,1.448,20.46,5.713739
2023-07-19,36.32,12.35,76.4,11.76,1.582,29.68,7.033028
2023-07-20,32.11,7.25,99.7,20.23,1.596,29.38,6.241903
2023-07-21,30.69,7.92,99.5,18.01,1.411,27.04,5.66825
2023-07-22,32.9,8.73,96.7,13.37,1.316,28.27,6.018672
2023-07-23,34.25,7.11,82.9,10.82,1.698,28.81,6.730266
2023-07-24,27.41,8.39,91.3,23.05,1.948,26.18,5.541747
2023-07-25,27.41,5.439,99.0,23.66,1.06,29.42,5.158514
2023-07-26,32.17,7.32,96.3,15.93,1.137,29.3,5.784602
2023-07-27,33.45,7.65,86.0,17.13,1.387,20.4,5.21412
2023-07-28,32.84,12.21,84.4,14.18,1.472,28.08,6.201532
2023-07-29,32.5,12.95,92.9,23.79,1.797,28.57,6.365814
2023-07-30,33.7,9.8,96.2,22.58,1.156,28.8,5.878676
2023-07-31,34.97,8.12,91.1,13.71,1.315,28.97,6.249013
2023-08-01,33.04,10.47,79.8,20.63,1.413,28.48,6.076692
2023-08-02,32.37,14.83,93.4,29.03,2.635,27.08,6.679187
2023-08-03,27.34,6.643,98.3,18.15,1.919,28.6,5.712563
2023-08-04,23.92,2.956,98.4,27.09,2.026,28.59,5.116935
2023-08-05,32.16,6.643,94.6,17.4,1.387,28.36,5.841026
2023-08-06,31.42,11.54,85.3,9.94,2.212,28.85,6.793162
2023-08-07,35.24,9.13,78.0,12.03,1.352,28.82,6.293453
2023-08-08,39.68,9.39,72.4,10.82,1.078,27.64,6.19626
2023-08-09,41.08,15.1,63.3,13.57,1.578,21.89,6.537627
2023-08-10,35.11,10.87,87.7,9.54,1.23,28.25,6.002908
2023-08-11,36.32,8.93,66.9,14.31,1.233,27.97,6.072152
2023-08-12,35.71,12.28,82.1,15.99,1.193,27.24,5.896395
