Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2023-06-18,27.89,14.49,92.7,36.8,0.419,11.734,2.659299
2023-06-19,29.07,14.22,82.7,34.7,0.569,18.8,3.837167
2023-06-20,33.14,15.36,91.4,31.34,0.59,23.614,4.790765
2023-06-21,29.61,17.43,92.3,40.97,0.69,13.721,3.232424
2023-06-22,34.15,14.76,88.7,25.43,0.712,25.25,5.226812
2023-06-23,32.74,16.02,84.5,36.77,0.736,26.32,5.318548
2023-06-24,34.87,15.57,82.3,31.67,0.782,26.72,5.606825
2023-06-25,36.89,17.5,94.0,29.32,0.741,25.28,5.536393
2023-06-26,34.35,18.77,81.6,33.34,0.724,21.971,4.885798
2023-06-27,32.61,16.83,91.4,43.28,0.578,24.84,4.96883
2023-06-28,31.94,16.76,95.6,51.01,0.552,21.88,4.420261
2023-06-29,31.01,16.62,94.4,55.63,0.769,22.76,4.612892
2023-06-30,30.0,16.56,83.9,42.03,0.707,25.0,4.917913
2023-07-01,32.14,13.82,87.1,31.07,0.608,27.13,5.184508
2023-07-02,33.61,16.24,87.0,35.43,0.703,24.82,5.133681
2023-07-03,32.47,16.83,95.6,48.18,0.62,17.94,3.85578
2023-07-04,31.28,17.63,94.6,56.04,0.68,25.18,4.95291
2023-07-05,30.48,17.3,95.9,54.91,0.613,16.16,3.479912
2023-07-06,30.62,18.03,95.7,55.3,0.59,15.76,3.425674
2023-07-07,29.73,18.24,93.0,47.58,0.483,14.73,3.224386
2023-07-08,35.21,16.96,91.7,36.5,0.631,25.72,5.305302
2023-07-09,33.87,18.77,92.8,42.07,0.568,25.09,5.150211
2023-07-10,33.87,17.63,93.6,37.84,0.59,22.66,4.740535
2023-07-11,35.55,18.5,94.9,42.48,0.582,21.98,4.757473
2023-07-12,33.48,19.71,94.9,56.1,0.8,22.25,4.765432
2023-07-13,31.07,19.04,95.5,55.64,0.705,16.86,3.696286
2023-07-14,33.48,21.24,92.6,49.66,0.706,25.01,5.254174
2023-07-15,34.74,18.64,94.8,44.08,0.615,26.09,5.390343
2023-07-16,30.02,18.91,89.9,61.1,0.738,12.3,2.936862
2023-07-17,32.66,19.77,93.9,55.15,0.669,22.68,4.740284
2023-07-18,36.95,17.57,95.8,37.7,0.523,24.97,5.219997
2023-07-19,36.81,20.71,92.8,38.71,0.746,22.6,5.140274
2023-07-20,33.08,19.37,93.7,46.1,0.62,20.32,4.372091
2023-07-21,34.07,18.04,95.7,30.26,0.686,24.31,5.070163
2023-07-22,33.13,22.1,91.9,45.96,0.88,22.96,5.019308
2023-07-23,34.47,21.92,94.4,50.12,0.703,23.64,5.090034
2023-07-24,40.48,21.39,89.9,11.54,0.885,18.49,5.12355
2023-07-25,33.75,20.57,89.7,20.4,0.857,24.83,5.365081
2023-07-26,31.48,21.88,73.2,46.42,0.857,25.328,5.248721
2023-07-27,33.74,20.64,93.8,42.54,0.765,20.87,4.598646
2023-07-28,33.67,18.77,97.2,43.55,0.762,27.76,5.595416
2023-07-29,36.28,17.97,97.6,36.7,0.664,28.43,5.792324
2023-07-30,33.34,18.04,98.0,50.73,0.756,23.73,4.887456
2023-07-31,33.73,21.11,95.1,49.38,0.703,24.9,5.179152
2023-08-01,35.34,18.97,97.4,32.07,0.665,27.43,5.578567
2023-08-02,40.82,18.37,89.5,12.34,0.666,28.44,5.982863
2023-08-03,32.4,19.44,98.9,43.35,1.034,23.74,5.028492
2023-08-04,33.41,14.63,85.0,15.5,0.881,28.78,5.620222
2023-08-05,35.35,12.07,83.2,12.88,0.708,28.57,5.417864
2023-08-06,33.07,15.43,84.8,27.33,0.712,27.75,5.286674
2023-08-07,31.46,15.36,93.8,35.23,0.804,25.33,4.921549
2023-08-08,31.6,19.51,92.9,47.18,0.577,19.44,4.006314
2023-08-09,34.0,17.36,97.3,43.61,0.559,22.54,4.537942
2023-08-10,44.83,20.91,91.5,9.46,0.94,25.35,6.431946
2023-08-11,35.14,19.5,98.0,39.45,0.596,25.54,5.156689
2023-08-12,33.14,18.24,96.4,49.79,0.675,25.32,4.987777
2023-08-13,32.4,19.24,95.4,46.17,0.703,23.24,4.678294
2023-08-14,32.47,20.71,95.3,47.31,0.728,23.07,4.697073
