Fecha,TempMax,TempMin,HumedadMax,HumedadMin,VelViento,Radiacion,EtPMon
2023-06-18,25.78,15.83,97.2,43.17,2.893,13.42,3.986409
2023-06-19,25.7,15.69,97.0,46.89,2.187,10.53,3.256876
2023-06-20,29.67,16.97,92.3,39.63,1.903,22.53,5.233353
2023-06-21,27.04,15.62,97.6,56.14,1.066,11.71,2.795322
2023-06-22,26.44,14.95,97.1,46.47,2.252,26.16,5.204876
2023-06-23,30.19,12.32,96.2,23.66,1.883,29.38,6.331472
2023-06-24,34.22,11.64,96.3,16.7,0.926,30.4,6.099956
2023-06-25,35.7,15.95,87.1,24.24,1.61,29.67,6.976792
2023-06-26,30.07,16.62,88.7,44.02,2.77,29.06,6.415706
2023-06-27,29.12,15.42,86.9,46.26,2.737,27.17,5.957102
2023-06-28,31.47,15.42,89.4,43.41,2.084,26.45,5.941601
2023-06-29,28.18,15.02,90.9,49.78,2.831,24.28,5.342137
2023-06-30,22.74,14.95,81.3,39.26,4.201,28.55,5.921581
2023-07-01,26.23,13.6,84.6,44.04,3.125,28.68,5.902239
2023-07-02,28.45,15.31,90.8,45.65,3.12,30.05,6.28494
2023-07-03,30.21,13.27,89.1,30.16,1.408,18.92,4.653218
2023-07-04,30.05,15.11,92.0,38.62,2.13,27.73,6.01973
2023-07-05,28.31,14.75,84.4,40.65,1.568,19.98,4.580641
2023-07-06,27.84,15.56,93.0,55.14,2.185,17.08,4.054773
2023-07-07,30.93,16.3,95.4,40.64,2.281,18.99,5.069634
2023-07-08,33.49,14.75,91.8,25.89,1.172,29.17,6.144669
2023-07-09,35.43,18.04,85.1,21.64,1.1,27.31,6.13472
2023-07-10,34.55,15.62,96.3,39.47,1.213,29.02,6.1746
2023-07-11,40.07,18.65,81.1,24.32,1.944,27.81,7.789156
2023-07-12,29.91,15.56,85.0,38.07,2.663,26.04,6.155487
2023-07-13,31.06,16.64,85.4,32.05,2.019,29.46,6.518291
2023-07-14,35.36,16.44,90.2,32.85,2.883,28.65,7.543983
2023-07-15,33.62,16.07,79.9,30.56,2.71,28.18,7.291053
2023-07-16,31.67,13.0,87.3,30.16,1.696,28.66,6.186426
2023-07-17,33.14,15.16,90.7,46.76,1.01,22.22,4.802618
2023-07-18,40.95,19.46,86.7,19.12,2.394,24.85,8.142888
2023-07-19,33.35,16.84,90.9,33.87,2.126,26.57,6.441947
2023-07-20,32.6,13.54,92.2,30.83,2.075,28.74,6.555802
2023-07-21,27.64,15.15,85.6,39.02,3.26,27.45,6.155534
2023-07-22,30.45,10.25,94.1,33.29,1.05,27.34,5.27552
2023-07-23,35.3,18.79,86.8,29.88,2.228,26.31,6.890265
2023-07-24,29.93,11.08,82.3,33.96,2.93,25.75,6.273071
2023-07-25,23.0,13.8,79.1,45.47,3.485,21.9,4.875989
2023-07-26,28.03,13.0,85.6,31.5,2.077,28.6,5.894307
2023-07-27,34.42,12.54,97.7,30.42,1.712,22.65,5.74865
2023-07-28,32.07,13.34,97.3,32.25,1.105,25.83,5.283015
2023-07-29,33.47,18.88,92.7,31.72,1.75,26.89,6.22941
2023-07-30,30.27,16.05,91.4,38.78,2.28,27.08,5.957116
2023-07-31,33.34,13.4,94.3,20.75,1.971,28.28,6.655824
2023-08-01,28.92,15.56,80.1,39.63,2.437,25.6,5.762606
2023-08-02,33.94,14.28,90.0,25.35,1.847,27.79,6.492078
2023-08-03,23.63,14.77,76.0,37.4,3.97,23.13,5.548294
2023-08-04,23.15,13.07,81.1,39.86,3.526,19.53,4.782079
2023-08-05,27.7,11.92,84.4,23.13,3.497,27.87,6.734609
2023-08-06,24.75,13.54,80.0,33.22,3.97,28.49,6.20029
2023-08-07,30.32,11.58,84.9,15.01,1.604,28.18,5.929339
2023-08-08,33.55,11.93,81.1,22.58,0.802,27.03,5.195869
